name;tm;nat;age;pos;cm;kg;app;min;G;A;yel;red;spG;pa%;aerWon;moM;tac;int;fouls;offW;clear;drbP;blcks;ownG;KP;drb;fouled;cOff;disp;unsT;avgP;crosses;longB;thrB
Jonas Hector;FC Cologne;de;27;D(L),DMC,M(L);185;75;32;2859;-;4;3;-;0.3;81.8;2.6;1;1.9;2.4;0.7;0.2;2.4;0.9;0.4;-;1.8;1;1.4;-;0.7;0.7;48.9;1;2.4;-
Timo Horn;FC Cologne;de;24;GK;192;90;33;2970;-;-;-;-;-;58.1;0.5;1;-;-;-;-;0.7;-;-;-;-;-;0.3;-;-;-;27.3;-;8.1;-
Yuya Osako;FC Cologne;jp;27;AM(CR),FW;182;71;14(11);1346;1;-;2;-;1.3;75.5;1.2;-;1.1;0.5;1;-;0.3;0.4;-;-;0.8;0.8;1.6;0.4;1.2;1.2;19.1;0.2;1;-
Frederik Sörensen;FC Cologne;dk;25;D(CR);194;88;19(3);1676;-;2;5;-;0.3;77.3;2.3;1;2;1.7;1;0.2;4.9;0.8;1;-;0.2;0.3;0.7;-;-;0.2;36.9;-;3.7;-
Marcel Risse;FC Cologne;de;27;D(R),M(CLR);183;75;33;2963;3;5;5;-;1.4;61.9;0.3;5;2.9;1.9;1;0.1;0.6;1.1;0.1;-;2;1.4;0.7;-;0.5;0.8;35.6;1.7;3.3;-
Dominic Maroh;FC Cologne;si;30;D(C);186;85;23(2);2122;2;1;7;-;0.8;87;3;3;1.7;3;1.1;0.4;4.2;0.6;0.8;-;0.1;-;0.6;-;0.2;0.3;47.2;-;2.8;-
Dominique Heintz;FC Cologne;de;24;D(CL);189;87;32(1);2874;2;-;3;-;0.4;82.1;1.9;2;2;2.4;0.8;0.3;4.2;0.8;0.4;-;0.1;0.4;0.5;-;0.4;0.4;43.8;-;4;-
Filip Mladenovic;FC Cologne;rs;26;D(L),M(L);180;65;10(4);850;-;2;1;-;0.9;70.8;0.5;-;1.5;1.3;0.8;-;1.3;0.6;0.3;-;1.1;0.6;0.4;0.1;0.7;0.8;20.8;1.1;1.1;-
Mergim Mavraj;FC Cologne;al;31;D(C);189;84;11(1);991;-;-;1;-;0.4;83.5;3.1;1;2.5;1.3;1.3;0.5;6.1;0.4;0.8;-;-;0.2;1;-;0.1;0.2;33.3;-;1.5;-
Marcel Hartel;FC Cologne;de;21;Midfielder;176;69;0(6);74;-;-;-;-;0.7;76.6;0.2;-;0.5;-;0.2;-;-;-;0.2;-;-;0.7;0.3;-;0.3;-;7.8;-;-;-
Matthias Lehmann;FC Cologne;de;34;M(C);179;75;31(1);2775;-;2;6;1;0.4;83.2;1.2;-;1.7;1.6;1.3;0.1;1.1;1.1;0.3;-;0.6;0.2;0.9;-;0.2;0.3;42.8;-;2.3;-
Kazuki Nagasawa;FC Cologne;jp;25;M(L);172;68;1;46;-;-;-;-;1;60;2;-;-;1;-;-;2;-;-;-;-;-;1;-;-;3;15;-;-;-
Dusan Svento;FC Cologne;sk;32;D(L),M(L);178;70;2(5);223;1;-;-;-;0.4;66.1;0.4;-;-;0.9;-;-;0.3;-;-;-;0.1;0.4;0.4;0.3;0.3;0.1;8;0.1;0.3;-
Sebastian Langkamp;Hertha Berlin;de;29;D(C);191;85;22;1880;-;1;8;-;0.1;85.3;3.6;-;1.6;1.5;0.6;0.6;5;0.4;0.7;-;0.1;0.1;1.5;-;0.1;0.4;55.9;-;4.6;-
Marvin Plattenhardt;Hertha Berlin;de;25;D(L);181;76;33;2970;2;4;5;-;0.4;79.2;1.4;1;1.4;1.3;1.1;0.3;1.8;0.3;0.2;-;1.1;0.3;1.2;-;0.4;0.7;39.4;1.2;1.7;-
