name;tm;nat;age;pos;cm;kg;app;min;G;A;yel;red;spG;pa%;aerWon;moM;tac;int;fouls;offW;clear;drbP;blcks;ownG;KP;drb;fouled;cOff;disp;unsT;avgP;crosses;longB;thrB
Lukas Fröde;Werder Bremen;de;22;DMC;192;85;1(7);115;-;-;-;-;0.1;55.3;0.8;-;0.5;0.5;0.6;-;0.3;0.4;-;-;-;-;0.3;-;0.1;0.3;5.9;-;0.1;-
Philipp Bargfrede;Werder Bremen;de;28;M(C);174;71;14;1185;-;1;2;1;0.9;73.5;2.1;-;3.4;3.4;1.9;0.2;0.9;1.6;0.5;-;0.4;0.3;1.4;-;0.4;0.8;36.9;-;2.1;0.1
Alejandro Gálvez;Werder Bremen;es;28;D(C),M(C);190;79;15(6);1275;1;-;3;-;0.2;73.7;1.4;-;1.4;2.7;1;0.5;3;0.7;0.4;1;0.1;0.1;0.3;-;0.1;0.3;24.2;-;3.8;-
Assani Lukimya;Werder Bremen;de;31;D(C);190;89;10(2);913;-;-;3;-;0.4;69.8;4;1;2.1;1.7;1.8;0.8;3.8;0.5;0.5;-;-;0.2;0.8;-;0.4;0.3;32.3;-;3.8;-
Michael Zetterer;Werder Bremen;de;22;Goalkeeper;187;79;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Melvyn Lorenzen;Werder Bremen;de;22;Forward;188;86;1(8);145;-;-;-;-;0.1;48;0.1;-;0.2;0.4;0.6;-;0.1;0.7;-;-;-;0.3;0.4;-;0.4;0.1;2.8;0.1;-;-
Claudio Pizarro;Werder Bremen;pe;38;AM(C),FW;184;84;17(11);1742;14;3;3;-;1.6;68.4;2.3;2;0.6;0.9;1.1;-;0.4;0.3;-;-;1.1;1;0.8;0.7;1.8;1.5;21.5;0.1;1;-
Clemens Fritz;Werder Bremen;de;36;D(R),DMC;183;81;29;2528;1;2;13;-;0.9;73.9;1.2;1;2.8;2.3;1.5;-;1.3;1.2;0.4;-;0.5;1.4;2.7;-;1.4;1;34.7;0.1;3.1;-
Zlatko Junuzovic;Werder Bremen;at;29;M(CLR);172;69;26(4);2355;4;10;6;-;2;68.8;0.4;3;1.7;1.7;1.5;-;0.4;1.2;0.2;-;2.8;0.6;1.8;0.1;1;1.4;30.8;2;1.9;-
Janek Sternberg;Werder Bremen;de;24;D(L);182;77;4(5);444;-;-;2;-;0.2;66.7;1.2;-;0.8;1.8;1.2;0.4;1.2;0.6;0.2;-;0.2;0.4;0.9;-;0.2;0.3;17;0.1;1;-
Leon Guwara;Werder Bremen;de;21;D(L);185;83;1;90;-;-;-;-;-;64.7;4;-;3;3;2;1;1;1;-;-;-;2;4;-;-;3;34;-;2;-
Florian Grillitsch;Werder Bremen;at;22;DMC,M(L);187;74;23(2);1989;1;2;3;-;1.2;74.7;1.6;-;2.3;3.4;0.8;-;0.6;1.4;0.2;-;1;0.4;1.6;0.1;0.7;1;35;0.5;3;-
Theodor Gebre Selassie;Werder Bremen;cz;30;D(R),DMC,M(R);181;71;33;2961;1;2;5;-;0.5;73.8;3.8;-;2.4;2.9;1.3;0.2;2.9;0.7;0.2;1;0.8;0.6;1.5;0.1;0.6;0.6;30.2;0.4;1.2;-
Oliver Hüsing;Werder Bremen;de;24;Defender;193;88;0(1);6;-;-;-;-;-;50;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;1;-
Felix Kroos;Werder Bremen;de;26;M(C);184;78;2(6);254;-;-;-;-;0.9;71.7;0.6;-;1.1;1.4;0.9;-;0.6;0.8;-;-;0.4;0.4;0.6;-;0.4;0.1;12.4;-;0.5;-
Håvard Nordtveit;Borussia M.Gladbach;no;27;D(CR),DMC;188;83;27(4);2449;4;1;4;-;0.7;82.4;2.8;-;1.2;1.9;0.9;0.4;2.8;0.4;0.6;-;0.3;0.3;0.7;-;0.1;0.5;55.7;0.1;4.7;-
Yann Sommer;Borussia M.Gladbach;ch;28;GK;183;79;32;2880;-;-;2;-;-;69.3;0.5;-;-;-;-;-;0.3;-;-;-;-;-;0.1;-;-;-;39.2;-;7;-
Josip Drmic;Borussia M.Gladbach;ch;25;AM(LR),FW;183;81;4(9);441;1;-;-;-;0.6;71.5;0.5;-;0.5;0.2;0.8;-;0.1;0.1;0.2;-;0.1;0.4;0.2;0.2;0.4;1.3;10.5;-;0.4;-
Jonas Hofmann;Borussia M.Gladbach;de;25;AM(CLR);176;70;2(6);215;-;-;-;-;1.3;85.9;0.1;-;0.4;0.3;0.3;-;-;0.1;-;-;0.5;-;0.5;0.1;0.6;0.6;16;-;0.3;-
Tony Jantschke;Borussia M.Gladbach;de;27;D(CR),DMC;177;76;8(4);749;-;-;2;-;0.3;82.7;2.6;-;2;1.9;0.7;0.5;2.8;0.4;0.1;-;0.1;0.1;1.1;-;-;0.1;48.1;-;2.4;-
Martin Stranzl;Borussia M.Gladbach;at;37;D(C);191;83;2(2);164;-;-;-;-;-;89.1;3.3;-;1;0.3;1;0.3;1.5;1;-;-;-;-;0.8;-;-;-;29.8;-;0.8;-
Julian Korb;Borussia M.Gladbach;de;25;D(R),M(R);177;70;14(3);1267;1;1;4;-;0.4;76.3;0.5;-;1.5;1.8;1;0.1;1.5;1.1;0.2;-;0.4;0.4;0.8;0.1;0.5;0.6;37.9;0.1;1.2;0.1
Lars Stindl;Borussia M.Gladbach;de;28;M(CR),FW;181;80;29(1);2597;7;8;5;-;2.2;80.3;1.5;1;1.5;1.4;2.3;-;0.6;1;0.2;-;1.8;1.2;2;0.5;1.4;1.4;47.3;0.1;1.4;0.2
Thorgan Hazard;Borussia M.Gladbach;be;24;AM(CLR),FW;174;69;19(10);1647;4;3;4;-;1.6;75.4;0.7;2;1.4;0.9;1.6;-;0.2;1;-;-;1.2;1.4;0.8;0.4;0.8;0.9;26.7;0.7;1;-
Martin Hinteregger;Borussia M.Gladbach;at;24;D(C);184;83;6(4);658;-;-;-;-;0.4;76.7;2.5;-;2.3;1.7;0.4;0.4;1.5;0.7;0.3;2;0.4;0.1;0.2;-;0.4;0.4;41.7;0.1;2.6;-
Granit Xhaka;Borussia M.Gladbach;ch;24;M(C);185;82;28;2368;3;1;5;3;1.2;85.1;3.4;1;2.4;2.7;2.6;0.1;1.6;0.8;0.3;-;0.8;1;1.8;-;0.8;1;82.7;-;7.4;0.1
Roel Brouwers;Borussia M.Gladbach;nl;35;D(C);192;82;3(5);289;-;-;-;-;0.1;93.4;1.6;-;0.3;0.8;0.3;0.4;1.6;-;0.3;-;0.1;0.3;0.3;0.1;0.1;0.1;22.9;-;1.4;-
Raffael;Borussia M.Gladbach;br;32;AM(CL),FW;174;69;30(1);2690;13;10;2;-;2.3;81.8;0.4;6;1.2;0.8;0.6;-;-;1;0.1;-;1.8;2.5;2;0.5;1.2;1.4;38;0.4;1.1;-
Andreas Christensen;Borussia M.Gladbach;dk;21;D(C);188;78;31;2790;3;1;1;-;0.5;87.6;2.9;-;1.4;2.7;0.4;0.8;4.2;0.4;0.6;1;0.1;0.2;0.7;-;-;0.3;59.8;-;3.1;-
Oscar Wendt;Borussia M.Gladbach;se;31;D(L),M(L);181;82;30;2638;3;2;5;-;0.7;79.6;1.3;1;1.7;2.2;0.7;0.1;1.8;0.5;0.2;-;0.9;0.6;0.5;0.2;0.4;0.9;47.6;0.5;1.7;-
Patrick Herrmann;Borussia M.Gladbach;de;26;M(LR),FW;179;70;5(13);629;3;1;-;-;0.7;71.1;0.5;1;0.7;0.5;0.4;-;0.2;0.4;-;-;0.7;0.5;1.2;-;0.3;0.6;11.2;0.2;0.2;-
Mahmoud Dahoud;Borussia M.Gladbach;de;21;M(C);177;69;27(5);2084;5;8;4;-;1.2;83.5;0.6;2;2.2;1.8;1.7;-;0.4;1.1;0.1;-;1;1;1.2;0.1;0.9;1.1;40.5;-;2.2;0.1
André Hahn;Borussia M.Gladbach;de;27;AM(R),FW;185;80;7(8);739;8;1;1;-;1.7;61.4;2.9;3;0.9;0.7;1.7;-;0.1;0.5;-;-;0.5;0.3;1.1;0.8;0.5;1.2;16.6;-;0.3;-
Marvin Schulz;Borussia M.Gladbach;de;22;Midfielder;186;77;4(4);394;-;1;-;-;0.1;91.1;1.6;-;1.3;1.5;0.6;0.9;1.4;0.6;0.4;-;0.1;-;0.3;-;0.4;-;33.9;-;1;-
Branimir Hrgota;Borussia M.Gladbach;se;24;FW;185;76;0(9);73;-;-;-;-;0.2;77.5;0.2;-;-;0.1;0.3;-;-;0.1;-;-;-;0.4;0.3;0.3;0.3;0.3;4.4;-;-;-
Ibrahima Traoré;Borussia M.Gladbach;gn;29;AM(LR);171;61;17(7);1471;3;1;1;-;1.7;77.8;0.3;2;1.9;0.8;0.7;-;0.3;1;0.1;-;1.5;3.1;1.5;0.2;0.9;1;28.1;1.3;1.4;-
Nico Schulz;Borussia M.Gladbach;de;24;D(L),M(L);180;78;0(1);19;-;-;-;-;-;71.4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;7;-;-;-
Tobias Sippel;Borussia M.Gladbach;de;29;GK;183;78;2;180;-;-;-;-;-;72.1;0.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;4.5;-
Álvaro Domínguez;Borussia M.Gladbach;es;28;D(CL);189;83;5(1);472;-;-;1;-;-;80.3;3.2;-;0.8;1.3;0.7;1;2.8;0.3;0.7;-;0.2;0.2;1.3;0.2;0.2;0.2;51.7;-;2.8;-
Nico Elvedi;Borussia M.Gladbach;ch;20;D(CR);188;78;17(4);1548;-;2;2;-;0.1;83.1;2.7;-;1.8;2.3;0.8;0.6;3.1;0.3;0.3;-;0.2;0.4;0.8;-;0.2;0.7;44.6;-;1.2;-
Fabian Johnson;Borussia M.Gladbach;us;29;D(LR),M(CLR);183;74;25(1);2161;6;4;2;-;1;77.1;1.1;-;1;1.2;0.6;0.1;0.7;0.2;0.1;-;1.1;0.8;1;0.3;1;1.2;33.9;-;0.7;-
Julian Draxler;Schalke 04;de;23;AM(CLR);187;76;3;253;1;-;1;-;3.3;81.8;1.7;1;0.7;1;1.3;-;-;0.7;-;-;0.7;4;1;0.3;1;0.7;36.7;0.3;5.7;-
Joel Matip;Schalke 04;cm;26;D(C);195;90;34;3060;3;3;3;-;0.9;83.5;3.5;2;1.6;3.1;1.5;0.5;5.4;0.3;1;-;0.4;0.4;0.7;0.1;0.2;0.3;50.1;-;4.1;0.1
Leroy Sané;Schalke 04;de;21;M(LR);183;75;23(10);2314;8;6;4;-;2.1;77.5;0.9;2;1.8;0.8;1;-;0.1;1.2;-;-;0.8;2.8;1.3;0.3;1.8;2.5;18.8;-;0.5;-
Sead Kolasinac;Schalke 04;ba;24;D(L),M(L);183;85;18(5);1571;1;-;5;-;0.5;73.1;2.2;-;2;1.7;1.5;0.1;1.9;0.6;0.3;-;0.7;0.3;0.7;0.2;0.3;0.8;34.9;0.3;1.4;-
Younès Belhanda;Schalke 04;ma;27;M(CL);177;78;8(7);813;2;1;2;-;0.9;80.9;0.7;1;1.4;1.1;1;-;0.1;1.1;-;-;1.3;1;0.9;0.1;1.1;1.3;26.5;0.1;1.1;0.2
Klaas-Jan Huntelaar;Schalke 04;nl;34;FW;186;83;29(2);2483;12;3;2;-;2.3;72.7;2.4;3;0.2;0.3;1.6;-;0.6;0.3;0.1;-;0.8;0.5;1.3;0.7;1.2;1.5;16.9;0.1;0.2;-
Fabian Reese;Schalke 04;de;19;FW;187;80;0(1);3;-;-;-;-;-;75;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-
Sidney Sam;Schalke 04;de;29;M(R);174;68;0(2);15;-;-;-;-;1.5;60;-;-;-;-;-;-;-;0.5;-;-;-;0.5;0.5;-;-;-;5;-;-;-
Benedikt Höwedes;Schalke 04;de;29;D(CLR);187;82;10(5);896;1;-;4;-;0.5;86.8;2.1;1;0.9;2.1;0.5;0.3;2.8;0.2;0.4;-;0.3;-;0.5;0.1;-;0.3;33.9;0.1;1.9;-
Alexander Nübel;Schalke 04;de;20;Goalkeeper;193;85;0(1);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Leon Goretzka;Schalke 04;de;22;M(CR);189;79;23(2);1993;1;3;5;-;1.5;81.6;1.6;3;2.6;3;1.2;0.1;1.7;1.5;0.5;1;1;1.2;1.4;-;0.9;0.9;38.1;-;1.7;0.2
Ralf Fährmann;Schalke 04;de;28;GK;196;95;34;3060;-;-;1;-;-;64.4;0.4;2;-;0.1;-;-;1.2;-;-;-;-;-;0.1;-;-;-;33.9;-;9.3;-
Roman Neustädter;Schalke 04;ru;29;D(C),M(C);190;83;26(4);2391;-;1;4;-;0.4;89.6;2.2;1;2;2.2;0.7;0.6;3.7;0.4;0.6;-;0.1;-;0.3;-;0.1;0.1;49.2;-;3.7;-
Júnior Caiçara;Schalke 04;br;28;D(R),M(R);173;70;22(1);1856;-;3;7;-;0.6;73.6;1.6;1;2.5;2;1.7;0.2;3;0.8;0.3;-;1.7;0.7;0.6;0.1;0.5;1.1;43.8;1;2.1;-
Kaan Ayhan;Schalke 04;tr;22;D(C),DMC;184;84;0(1);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Marvin Friedrich;Schalke 04;de;21;Defender;193;80;0(2);3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.5;-;-;-
Eric Maxim Choupo-Moting;Schalke 04;cm;28;M(CLR),FW;191;91;21(7);1865;6;2;1;-;1.8;72.5;2.8;3;1.3;1.2;1.6;-;0.8;0.7;0.1;-;1.3;3.1;1.6;0.5;1.5;2.1;24.9;0.5;0.9;-
Felix Platte;Schalke 04;de;21;FW;190;90;0(1);1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Alessandro Schöpf;Schalke 04;at;23;AM(R);178;73;5(8);470;3;1;1;-;1.1;74;0.9;-;0.8;0.3;0.5;-;0.5;0.5;0.1;-;0.6;0.5;0.9;0.4;1.6;0.6;13;0.3;0.2;-
Franco Di Santo;Schalke 04;ar;28;AM(L),FW;193;88;13(12);1297;2;1;3;-;0.9;63.5;1.9;-;0.6;0.3;1.3;-;0.6;0.4;0.1;-;0.6;0.5;0.6;0.2;0.6;1.4;12;0.2;0.4;-
Thilo Kehrer;Schalke 04;de;20;D(CR);186;76;0(1);1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-
Dennis Aogo;Schalke 04;de;30;D(L),M(CL);184;85;20(3);1850;-;1;4;-;0.3;84.7;1.4;-;1.2;1.8;1.1;-;2.3;0.4;0.3;-;1.1;0.2;0.6;0.1;0.2;0.5;41.8;1;2.4;-
Marco Höger;Schalke 04;de;27;D(R),M(C);182;83;3(2);189;-;-;2;-;0.4;73.7;1.4;-;1;0.4;1;-;0.6;0.2;-;-;-;-;1;-;0.2;0.2;23.6;-;1;-
Johannes Geis;Schalke 04;de;23;DMC;181;81;27(1);2334;2;5;4;1;1.6;81.3;1.3;-;2.1;1.5;1.5;-;1.4;1.2;0.2;-;2.1;0.3;1.9;-;0.4;0.6;56;1.8;6.9;-
Pierre-Emile Højbjerg;Schalke 04;dk;22;M(C);185;84;13(10);1274;-;1;3;-;1;87.4;0.9;-;1.4;2.3;1.1;-;0.5;0.8;0.2;-;0.3;0.9;1.3;-;0.9;1;34.7;0.2;2.1;-
Matija Nastasic;Schalke 04;rs;24;D(C);188;83;1;17;-;-;-;-;-;100;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4;-;-;-
Max Meyer;Schalke 04;de;21;AM(CL),FW;173;67;27(5);2324;5;6;4;-;1.4;85.2;0.3;1;0.4;0.7;0.6;-;0.1;0.4;0.1;-;1.4;1.1;1.7;0.1;1.4;1.3;32.5;0.1;1;0.1
Sascha Riether;Schalke 04;de;34;D(R);174;70;14(3);1330;-;-;3;-;0.1;82.2;0.7;-;1.3;1.2;0.8;0.2;2.1;0.4;0.5;1;0.7;0.1;0.5;-;0.4;0.4;36.8;0.4;3;-
Marco Fabián;Eintracht Frankfurt;mx;28;AM(CR);170;65;9(2);802;-;2;2;-;1.7;78.9;0.8;1;1.1;0.7;1.5;-;0.3;0.7;0.1;-;1.8;1.4;1.9;0.1;1.2;1.4;36.6;1.1;1.2;-
Joel Gerezgiher;Eintracht Frankfurt;de;21;Midfielder;176;71;1(2);85;-;-;1;-;1.3;61.5;0.7;-;0.3;1;1;-;-;0.3;-;-;0.3;1;0.7;-;1;1.7;8.7;-;0.7;-
Luc Castaignos;Eintracht Frankfurt;nl;24;FW;188;78;12(7);942;4;1;1;-;0.9;69.9;1.2;2;0.4;0.3;1.7;-;0.1;0.2;-;-;0.5;0.7;0.8;1;0.9;0.8;10.3;-;0.2;-
Gian-Luca Waldschmidt;Eintracht Frankfurt;de;21;Forward;181;75;0(12);229;-;1;-;-;0.4;68.2;0.4;-;0.1;0.3;0.6;-;0.1;0.2;-;-;0.8;0.3;0.5;-;0.4;0.4;7.3;-;0.1;0.1
David Abraham;Eintracht Frankfurt;ar;31;D(C);188;83;28(3);2548;-;-;8;-;0.4;80.5;3.5;1;1.2;2.5;1.1;1.4;3.8;0.7;0.4;-;0.2;0.2;0.7;-;0.2;0.1;37;-;2.7;-
Marc Stendera;Eintracht Frankfurt;de;21;M(C);173;73;24(2);2051;2;1;9;-;1.5;76.6;0.7;1;3.2;2;1.8;-;0.3;1.8;0.1;-;1;1.7;1.5;-;1.7;1.2;39.3;0.8;2.3;0.1
Stefan Reinartz;Eintracht Frankfurt;de;28;M(C);189;87;14(1);1198;1;1;2;-;0.5;84.3;1.4;-;1.3;3.2;1.5;-;0.9;1.6;0.3;-;0.5;0.5;0.3;-;0.7;0.7;57.6;-;3;-
Nico Rinderknecht;Eintracht Frankfurt;de;19;Midfielder;184;79;0(1);5;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-
Vaclav Kadlec;Eintracht Frankfurt;cz;25;AM(R),FW;181;77;2(3);110;-;-;1;-;0.4;81.3;0.4;-;0.6;0.4;1;-;-;0.4;-;-;-;-;0.6;-;-;0.4;3.2;-;0.2;-
Constant Djakpa;Eintracht Frankfurt;ci;30;D(L);177;74;8(4);752;-;-;2;-;0.3;67.4;0.4;1;1;2.3;0.4;0.5;2.2;0.3;-;-;0.7;0.3;0.9;-;0.6;0.4;25.8;0.5;1.4;-
Aleksandar Ignjovski;Eintracht Frankfurt;rs;26;D(LR),M(C);175;71;13(5);1221;-;2;3;-;0.5;66.1;1.6;-;2.2;2.1;0.8;0.5;0.9;1.2;0.2;-;0.5;0.9;1.4;-;0.9;0.6;26.2;0.6;0.9;-
Stefan Aigner;Eintracht Frankfurt;de;29;AM(CLR),FW;183;73;27(4);2405;3;3;7;-;1.4;72;1.7;-;1.6;1;1.6;-;0.4;0.6;-;-;0.8;0.5;1.7;1.1;1.1;1.3;22.6;0.4;0.5;-
Slobodan Medojevic;Eintracht Frankfurt;rs;26;DMC;182;77;6(8);556;1;-;-;1;0.1;78.4;0.7;-;1.1;0.7;1;-;0.4;0.6;-;-;0.1;0.1;0.6;0.1;0.3;0.1;17.9;-;0.4;-
Alexander Meier;Eintracht Frankfurt;de;34;M(C),FW;196;96;19;1658;12;1;-;1;2.6;66.9;5.4;3;0.3;0.7;0.9;-;1.5;0.3;-;-;0.9;0.3;0.5;0.6;0.5;1;26.3;-;0.6;0.1
Bastian Oczipka;Eintracht Frankfurt;de;28;D(CL),M(L);185;85;30;2700;-;-;7;-;0.3;78.4;1.2;-;1.9;2.6;0.9;0.2;1.6;0.4;0.3;-;0.7;1.3;1.1;-;0.8;0.8;42.4;0.7;1.3;-
Lukás Hrádecky;Eintracht Frankfurt;fi;27;GK;190;80;34;3060;-;-;-;-;-;58.1;0.4;1;-;-;-;-;1.4;0.1;-;-;-;-;0.1;-;-;-;34.5;-;9.9;-
Takashi Inui;Eintracht Frankfurt;jp;29;AM(CL);169;63;1;46;-;-;-;-;-;66.7;-;-;1;1;1;-;-;1;-;-;1;-;1;-;1;-;9;1;1;-
Johannes Flum;Eintracht Frankfurt;de;29;D(C),M(C);190;82;1(4);137;-;1;-;-;0.4;69.7;0.6;-;0.4;0.8;0.4;-;-;0.2;-;-;0.4;0.2;1;-;0.4;0.2;15.2;-;0.6;-
Änis Ben-Hatira;Eintracht Frankfurt;tn;29;M(CLR);181;82;7(2);608;1;1;2;-;1.3;69;0.8;-;1;0.6;1.6;-;0.6;0.6;-;-;0.4;1.7;1.7;0.4;1.8;2.2;17.2;0.3;0.7;-
Carlos Zambrano;Eintracht Frankfurt;pe;28;D(C);185;83;21(3);1793;-;-;8;1;0.2;84.5;2.1;-;1;2.5;1.4;0.9;3.2;1;0.4;-;-;0.5;2.4;-;0.3;0.3;37.6;-;1.9;-
Makoto Hasebe;Eintracht Frankfurt;jp;33;D(CR),M(CR);180;72;31(1);2674;1;2;9;-;0.2;75.7;1.6;-;1.7;1.7;1.1;0.1;1.3;1.1;0.3;-;0.9;0.3;1.4;-;0.8;0.6;39.7;0.2;2;-
David Kinsombi;Eintracht Frankfurt;de;21;D(C);183;74;1(1);91;-;-;-;-;-;60;-;-;1.5;2;-;1;5;0.5;0.5;-;-;-;-;-;-;-;10;-;1;-
Szabolcs Huszti;Eintracht Frankfurt;hu;34;M(CLR);173;72;14(1);1184;1;2;5;-;1.3;75.6;1.8;1;2.4;1.5;2.3;-;0.7;0.9;0.1;-;2.2;0.6;2.3;0.1;1.2;1.3;39.1;1.5;1.3;-
Haris Seferovic;Eintracht Frankfurt;ch;25;AM(LR),FW;185;85;25(4);2211;3;5;10;-;2;65.4;3.4;1;0.4;0.4;1.7;-;0.6;0.6;-;-;0.9;0.8;1;1.1;1.3;1.5;30.2;0.3;0.9;-
Mijat Gacinovic;Eintracht Frankfurt;rs;22;AM(CL);175;66;4(3);330;-;-;1;-;0.6;65.4;0.4;-;1.1;1.3;0.6;-;-;0.7;0.1;-;0.4;0.4;1.3;0.1;0.7;1;15.3;0.4;0.4;-
Timothy Chandler;Eintracht Frankfurt;us;27;D(R),M(R);186;84;5(7);665;-;-;4;-;0.3;67.8;1;-;1.1;1.7;1.1;0.2;0.8;0.5;0.3;-;0.1;0.1;1;-;0.3;0.3;17.8;0.5;0.5;-
Sonny Kittel;Eintracht Frankfurt;de;24;AM(CL);179;71;1(7);272;-;-;-;-;0.9;69.4;-;-;0.8;0.5;0.5;-;-;0.8;0.1;-;0.1;0.4;1.1;0.1;0.6;0.9;10.6;0.3;0.1;-
Kaan Ayhan;Eintracht Frankfurt;tr;22;D(C),DMC;184;84;1(1);79;-;-;1;-;-;82.9;0.5;-;1;0.5;0.5;0.5;3;-;1;-;-;-;0.5;0.5;-;-;17.5;-;1.5;-
Yanni Regäsel;Eintracht Frankfurt;de;21;D(R);176;72;9(1);812;-;-;1;-;0.3;74.4;0.6;-;1;1.4;0.6;0.3;1.5;1;0.1;-;0.5;0.2;0.8;0.1;0.1;0.7;27;0.2;1.4;-
Marco Russ;Eintracht Frankfurt;de;32;D(C),DMC;190;88;26(2);2350;3;2;9;-;0.8;79.1;3.4;1;1.1;2.3;0.9;0.9;3.2;0.6;0.5;-;0.2;0.3;1;0.1;0.3;0.7;36.9;-;1.4;-
Stefan Kießling;Bayer Leverkusen;de;33;FW;191;81;19(11);1885;5;3;1;-;1.4;60;7;5;1.1;0.5;1.5;-;0.8;0.7;-;-;0.5;0.7;2.2;0.5;1.8;1.3;22.2;-;0.2;-
Bernd Leno;Bayer Leverkusen;de;25;GK;190;83;33;2970;-;-;-;-;-;62.7;0.5;1;-;0.2;-;-;0.9;-;-;1;-;-;0.1;-;-;-;28.2;-;7.5;-
Dario Kresic;Bayer Leverkusen;hr;33;Goalkeeper;196;96;1;47;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;8;-
David Yelldell;Bayer Leverkusen;us;35;Goalkeeper;194;92;0(1);43;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;5;-
Jonathan Tah;Bayer Leverkusen;de;21;D(C);194;95;29;2566;-;-;2;-;0.5;79;3.6;-;1.4;3.1;0.8;0.8;4.3;0.7;0.3;-;0.2;0.5;0.8;-;0.4;0.5;42.1;-;3.1;-
Lars Bender;Bayer Leverkusen;de;28;D(R),M(C);185;81;11;887;1;1;3;-;1;78.7;4;3;4.7;3.4;2;0.2;1.5;1.5;0.1;-;0.7;0.5;1.2;0.2;0.5;0.7;48.3;0.1;2;0.1
Sebastian Boenisch;Bayer Leverkusen;de;30;D(CL);191;90;7(1);548;1;-;1;1;1;64.2;4.4;-;2.3;3.1;1.1;-;2.4;0.4;0.5;-;0.4;0.4;0.6;0.1;0.1;1;38.4;0.3;2.6;-
Robbie Kruse;Bayer Leverkusen;au;28;AM(CLR),FW;179;70;2(7);344;-;-;2;-;0.6;72;0.4;-;0.3;1;0.7;-;0.2;0.3;-;-;0.6;0.2;1.4;0.7;0.4;0.7;13.9;0.1;-;-
Christoph Kramer;Bayer Leverkusen;de;26;DMC;191;76;28;2400;-;1;3;-;0.3;83.3;2.3;-;2.8;1.6;1.5;-;1;1.6;0.1;-;0.6;1.1;1.2;0.1;1.3;1;55.5;0.1;2.6;-
Wendell;Bayer Leverkusen;br;24;D(L);176;71;26(2);2407;-;-;9;1;0.7;75;1.6;-;2.9;3.6;2;0.2;2.6;1.2;-;-;0.7;0.9;1.4;-;0.8;1.3;45.5;0.2;2.3;-
Vladlen Yurchenko;Bayer Leverkusen;ua;23;M(C);181;74;3(4);292;1;-;2;-;0.7;81.3;1;-;0.3;2;1.3;-;0.4;1;-;-;0.6;-;0.3;-;0.4;0.1;22.1;-;2.3;-
Kyriakos Papadopoulos;Bayer Leverkusen;gr;25;D(C);185;87;10(6);935;-;-;4;1;0.8;74.5;4;1;1.8;1.8;0.9;0.3;3.8;0.8;0.8;-;0.2;0.1;0.4;-;0.2;0.2;23.8;-;0.9;-
Giulio Donati;Bayer Leverkusen;it;27;D(R);178;76;10(2);932;-;1;4;-;0.3;69;1.3;-;2;2.4;1.1;0.2;1.9;0.8;0.3;-;0.5;0.3;2;-;0.1;0.5;33.9;0.5;2.5;-
André Ramalho;Bayer Leverkusen;br;25;D(C),DMC;182;78;11(8);1122;-;-;5;-;0.4;81.3;2.1;-;1.4;1.7;0.8;0.4;3.4;0.9;0.3;-;0.1;0.1;0.4;0.1;0.4;0.4;32.4;-;3.1;-
Ömer Toprak;Bayer Leverkusen;tr;28;D(C);186;83;17(2);1412;1;-;2;-;0.6;76.2;2.9;2;1.9;2.4;1.1;0.5;3.9;0.6;0.7;-;0.3;0.3;0.6;0.1;0.2;0.4;38.9;-;3.7;0.1
Son Heung-Min;Bayer Leverkusen;kr;25;AM(CLR),FW;183;79;1;64;-;-;-;-;2;76.5;1;-;-;1;1;-;-;-;-;-;-;2;-;-;3;1;17;-;1;-
Roberto Hilbert;Bayer Leverkusen;de;32;D(R);183;80;9(3);766;-;1;1;-;0.3;64.4;2;-;1.8;2.1;1;0.1;2.2;1.8;0.3;-;0.5;1.3;0.6;-;0.6;0.7;29.8;0.3;2.5;-
Benjamin Henrichs;Bayer Leverkusen;de;20;D(LR);183;77;5(4);538;-;1;1;-;-;72.4;1.2;-;3.8;3.3;0.9;0.1;1.7;0.8;0.2;-;0.3;-;1.1;-;0.3;0.8;20.1;-;1.4;-
