Name;Verein;Pos;Preis;PI_2016;DN_2016;PI_2017;DN_2017
Guilavogui;Wolfsburg;MIT;2;26;3,8;29;3,6
Hansen;Wolfsburg;ABW;0,2;;;0;4
Horn;Wolfsburg;ABW;0,2;0;;15;3,7
Jung;Wolfsburg;ABW;1,6;5;4,1;-1;4,1
Knoche;Wolfsburg;ABW;1,8;-11;4,5;30;3,7
Luiz Gustavo;Wolfsburg;MIT;3,2;62;3,4;30;3,7
Malli;Wolfsburg;MIT;3,5;161;3,2;67;3,8
Mayoral;Wolfsburg;STU;2,5;;;28;3,5
Ntep;Wolfsburg;STU;2,2;;;14;3,7
Osimhen;Wolfsburg;STU;0,6;;;-2;4,5
Rodriguez;Wolfsburg;ABW;2,8;48;3,6;46;3,7
Seguin;Wolfsburg;MIT;0,3;6;3,5;13;3,9
Stolze;Wolfsburg;STU;0,2;0;;0;
Träsch;Wolfsburg;ABW;1,8;42;3,6;9;3,8
Vieirinha;Wolfsburg;ABW;2,5;31;3,8;-26;4,4
Wollscheid;Wolfsburg;ABW;2,2;;;-5;4,3
Ziegele;Wolfsburg;ABW;0,2;;;0;
